subs,deg,divs,steps,pri,cond,iter,errBmax,errAmax,errEmax,errBa,errEa
2,1,2,2,1,1.0762e+00,4.000000,3.0096e-01,2.5014e-01,1.6185e-01,4.3982e-01,1.6185e-01
2,1,2,4,1,1.2145e+00,4.000000,3.0096e-01,2.5014e-01,1.2361e-01,3.8401e-01,9.2659e-02
2,1,2,8,1,1.4475e+00,4.000000,3.0096e-01,2.5014e-01,1.2700e-01,3.6909e-01,8.2560e-02
2,1,2,16,1,1.7982e+00,4.000000,3.0096e-01,2.5014e-01,1.4502e-01,3.6332e-01,8.2963e-02
2,1,2,32,1,2.2568e+00,4.000000,3.0096e-01,2.5014e-01,1.7571e-01,3.6076e-01,8.4669e-02
2,1,2,64,1,2.7749e+00,4.000000,3.0096e-01,2.5014e-01,2.1531e-01,3.5955e-01,8.6114e-02
2,1,2,128,1,3.2878e+00,4.000000,3.0096e-01,2.5014e-01,2.5429e-01,3.5896e-01,8.7086e-02
2,1,2,256,1,3.7381e+00,4.000000,3.0096e-01,2.5014e-01,2.8623e-01,3.5867e-01,8.7671e-02
2,1,2,512,1,4.0869e+00,4.000000,3.0096e-01,2.5014e-01,3.1000e-01,3.5853e-01,8.8002e-02
2,1,2,1024,1,4.3235e+00,4.000000,3.0096e-01,2.5014e-01,3.2857e-01,3.5846e-01,8.8186e-02
2,1,2,2048,1,4.4665e+00,4.000000,3.0096e-01,2.5014e-01,3.5206e-01,3.5842e-01,8.8296e-02
2,1,2,4096,1,4.5462e+00,4.000000,3.0096e-01,2.5014e-01,4.1076e-01,3.5841e-01,8.8380e-02
2,1,2,8192,1,4.5884e+00,4.000000,3.0096e-01,2.5014e-01,5.8119e-01,3.5840e-01,8.8481e-02
2,1,3,2,4,1.1217e+00,5.000000,1.9928e-01,1.6566e-01,1.5935e-01,2.9194e-01,1.5935e-01
2,1,3,4,4,1.3459e+00,5.000000,1.9928e-01,1.6566e-01,1.0033e-01,2.5476e-01,7.6807e-02
2,1,3,8,4,1.7764e+00,6.000000,1.9928e-01,1.6566e-01,8.6985e-02,2.4491e-01,5.8266e-02
2,1,3,16,4,2.5367e+00,6.000000,1.9928e-01,1.6566e-01,9.0566e-02,2.4111e-01,5.5233e-02
2,1,3,32,4,3.7650e+00,7.000000,1.9928e-01,1.6566e-01,1.0087e-01,2.3943e-01,5.5276e-02
2,1,3,64,4,5.5062e+00,7.000000,1.9928e-01,1.6566e-01,1.1566e-01,2.3864e-01,5.5737e-02
2,1,3,128,4,7.6004e+00,8.000000,1.9928e-01,1.6566e-01,1.3205e-01,2.3826e-01,5.6118e-02
2,1,3,256,4,9.7334e+00,7.000000,1.9928e-01,1.6566e-01,1.4834e-01,2.3807e-01,5.6368e-02
2,1,3,512,4,1.2342e+01,7.000000,1.9928e-01,1.6566e-01,1.6422e-01,2.3797e-01,5.6519e-02
2,1,3,1024,4,1.4677e+01,8.000000,1.9928e-01,1.6566e-01,1.7856e-01,2.3793e-01,5.6605e-02
2,1,3,2048,4,1.6092e+01,8.000000,1.9928e-01,1.6566e-01,1.8960e-01,2.3790e-01,5.6653e-02
2,1,3,4096,4,1.6975e+01,8.000000,1.9928e-01,1.6566e-01,1.9685e-01,2.3789e-01,5.6677e-02
2,1,3,8192,4,1.7489e+01,8.000000,1.9928e-01,1.6566e-01,2.0112e-01,2.3789e-01,5.6690e-02
2,1,4,2,9,1.1521e+00,5.000000,1.4942e-01,1.2415e-01,1.5829e-01,2.1950e-01,1.5829e-01
2,1,4,4,9,1.4241e+00,5.000000,1.4942e-01,1.2415e-01,9.0837e-02,1.9114e-01,7.0440e-02
2,1,4,8,9,1.9352e+00,7.000000,1.4942e-01,1.2415e-01,6.9167e-02,1.8368e-01,4.7245e-02
2,1,4,16,9,2.9541e+00,8.000000,1.4942e-01,1.2415e-01,6.7552e-02,1.8082e-01,4.2135e-02
2,1,4,32,9,4.7457e+00,8.000000,1.4942e-01,1.2415e-01,7.2782e-02,1.7956e-01,4.1397e-02
2,1,4,64,9,7.7023e+00,9.000000,1.4942e-01,1.2415e-01,8.2931e-02,1.7897e-01,4.1534e-02
2,1,4,128,9,1.1999e+01,10.000000,1.4942e-01,1.2415e-01,9.7570e-02,1.7868e-01,4.1776e-02
2,1,4,256,9,1.7341e+01,11.000000,1.4942e-01,1.2415e-01,1.1524e-01,1.7854e-01,4.1969e-02
2,1,4,512,9,2.2947e+01,11.000000,1.4942e-01,1.2415e-01,1.3341e-01,1.7847e-01,4.2098e-02
2,1,4,1024,9,2.8034e+01,11.000000,1.4942e-01,1.2415e-01,1.4961e-01,1.7843e-01,4.2177e-02
2,1,4,2048,9,3.2039e+01,11.000000,1.4942e-01,1.2415e-01,1.6225e-01,1.7841e-01,4.2222e-02
2,1,4,4096,9,3.5010e+01,12.000000,1.4942e-01,1.2415e-01,1.7098e-01,1.7840e-01,4.2246e-02
2,1,4,8192,9,3.6745e+01,11.000000,1.4942e-01,1.2415e-01,1.7656e-01,1.7840e-01,4.2259e-02
2,1,6,2,25,1.1924e+00,5.000000,9.9354e-02,8.2586e-02,1.5732e-01,1.4711e-01,1.5732e-01
2,1,6,4,25,1.5375e+00,6.000000,9.9354e-02,8.2586e-02,8.2973e-02,1.2736e-01,6.5331e-02
2,1,6,8,25,2.1080e+00,7.000000,9.9354e-02,8.2586e-02,5.2675e-02,1.2226e-01,3.7404e-02
2,1,6,16,25,3.3397e+00,9.000000,9.9354e-02,8.2586e-02,4.5598e-02,1.2034e-01,2.9578e-02
2,1,6,32,25,5.6819e+00,11.000000,9.9354e-02,8.2586e-02,4.6165e-02,1.1949e-01,2.7803e-02
2,1,6,64,25,9.9353e+00,12.000000,9.9354e-02,8.2586e-02,5.0197e-02,1.1910e-01,2.7529e-02
2,1,6,128,25,1.7075e+01,14.000000,9.9354e-02,8.2586e-02,5.7466e-02,1.1891e-01,2.7570e-02
2,1,6,256,25,2.8911e+01,15.000000,9.9354e-02,8.2586e-02,6.7682e-02,1.1881e-01,2.7653e-02
2,1,6,512,25,4.4275e+01,16.878669,9.9354e-02,8.2586e-02,7.9601e-02,1.1877e-01,2.7720e-02
2,1,6,1024,25,6.1867e+01,18.784946,9.9354e-02,8.2586e-02,9.1559e-02,1.1874e-01,2.7765e-02
2,1,6,2048,25,7.8875e+01,19.105032,9.9354e-02,8.2586e-02,1.0221e-01,1.1873e-01,2.7792e-02
2,1,6,4096,25,9.3111e+01,20.917705,9.9354e-02,8.2586e-02,1.1069e-01,1.1872e-01,2.7808e-02
